Name,ratings,location,description,open_hours,Opened,Closed,phone_number,Picture
Bias Courtyard Seminyak,4.7,"Jl. Petitenget, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Pesan antar,07.00–23.00,07.00,23.00,0819-9980-7888,https://lh5.googleusercontent.com/p/AF1QipNCxAgvk8rIgRx8fu6sva9kG4ci6o9_r5PH8637=w408-h408-k-no
Cafe Tane Bali,5,"Jl. Raya Babakan Canggu No.5, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Pesan antar,07.30–22.00,07.30,22.00,0821-4634-0599,https://lh5.googleusercontent.com/p/AF1QipP8RAiqw7oFYS0SjXhL4cjHwXt8qoqlpS6xcZJO=w408-h306-k-no
Dijon Food Specialties - CAFE & CATERING,4.6,"SIMPANG SIUR SQUARE, A Jl. Setia Budi No.B, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361","Tempat yang menyajikan aneka menu internasional dari bahan pilihan, juga menyediakan toko.
·
Makan di tempat
·
Bawa pulang
·
Antar tanpa bertemu",09.00–21.00,09.00,21.00,(0361) 759640,https://lh5.googleusercontent.com/p/AF1QipNy-rrHLmBm4F2S19o8Nt88BLoiuoOF7y_lg1z0=w426-h240-k-no
Cafe Favor,4.6,"84XX+QM5, Jl. Pantai Berawa, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,07.30–21.00,07.30,21.00,0821-4634-0599,https://lh5.googleusercontent.com/p/AF1QipMFASf6JbGt5jyc5RgPCc53ajDHsEEGNWYvVyMc=w408-h408-k-no
Doppio Cafe Pink,4.4,"Jl. Raya Basangkasa No.8x, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,07.30–17.30,07.30,17.30,0812-3973-3067,https://lh5.googleusercontent.com/p/AF1QipMrf99sgMEtNV4PAyQbt0cjZUP00MFiwZFVPP9g=w408-h306-k-no
80's Cafe Bali,5,"Jl. Danau Tandakan No.5/1, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80227",· Makan di tempat · Bawa pulang,17.00–00.00,17.00,00.00,0812-3973-3067,https://lh5.googleusercontent.com/p/AF1QipOaBGdvxzYZjNIIfTfZ5xYjQwyrEvThjYJNHFo-=w408-h306-k-no
Hard Rock Cafe,4.5,"Jl. Pantai Kuta, Banjar Pande, Mas, Kec. Kuta, Denpasar, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,11.00–01.00,11.00,01.00,(0361)755661,https://lh5.googleusercontent.com/p/AF1QipNUm35_HMKm8y5Cr9442WVAGWQ3N1-ZK8vJsRRu=w408-h271-k-no
Recolta Cafe,4.7,"Jl. Bypass Ngurah Rai No.33 - 34, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Pesan antar,08.30–22.00,08.30,22.00,0852-1529-1001,https://lh5.googleusercontent.com/p/AF1QipOEZXmi10TJCAsGxPxcAsxoeon0c6C-j8OBAqIj=w408-h509-k-no
Canggu Cafe,4.3,"Parkiran Pura, Jl. Pantai Batu Bolong, Canggu, Kuta Utara, Badung Regency, Bali 80351",· Makan di tempat · Bawa pulang · Pesan antar,09.00–22.00,09.00,22.00,-,https://lh5.googleusercontent.com/p/AF1QipMRe-ipQ61MRu3DJZLga9wcRiWySiuWrbNvClyK=w426-h240-k-no
Café Bloom Bali,5,"Jl. Danau Toba No.12, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",· Makan di tempat · Bawa pulang · Pesan antar,07.00–16.00,07.00,16.00,0811-388-270,https://lh5.googleusercontent.com/p/AF1QipPfADZKmz4A2Hi5eVgll9AkDTagU4FqP8Sk44yi=w408-h544-k-no
